DFRP-No_No-RBIF,Asset-name_Nom_du_bien,Street-number_Numéro-civique,Address_Adresse,City_Ville,Province-Code_Code-de-province,Province_Territory_Province_Territoire,Postal-code_Code-postal,Asset-type_Type-de-bien,Asbestos_Amiante,Mgmt-plan_Plan-gest
17410,"Esquimalt Graving Dock - Building 2003 - Electrical Kiosk",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,No,Yes
17410,"Esquimalt Graving Dock - Building 2004 - POL Hazmat Storage",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,No,Yes
17410,"Esquimalt Graving Dock - Building 2005 - Emergency Container",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,No,Yes
17410,"Esquimalt Graving Dock - Building 2006 - Elecrtical Storage & Workshop",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,No,Yes
17410,"Esquimalt Graving Dock - Building 2011 - Pumphouse Garage",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,No,Yes
17410,"Esquimalt Graving Dock - Building 2012 - Electrical Office",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,No,Yes
17410,"Esquimalt Graving Dock - Building 2013 - Pumphouse",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,Yes,Yes
17410,"Esquimalt Graving Dock - Building 2014 - Middle Penstock & Dock Egress",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,Yes,Yes
17410,"Esquimalt Graving Dock - Building 2015 - Main Penstock",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,No,Yes
17410,"Esquimalt Graving Dock - Building 2016 - Pumphouse Substation",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,No,Yes
17410,"Esquimalt Graving Dock - Building 2019 - Public Washroom",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,No,Yes
17410,"Esquimalt Graving Dock - Building 2020 - Old Main Substation",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,No,Yes
17410,"Esquimalt Graving Dock - Building 2021 - Generator Building",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,Yes,Yes
17410,"Esquimalt Graving Dock - Building 2022 - Main Substation",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,No,Yes
17410,"Esquimalt Graving Dock - Building 2024 - Environmental/Project Office",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,No,Yes
17410,"Esquimalt Graving Dock - Building 2025 - Operations Building",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,No,Yes
17410,"Esquimalt Graving Dock - Building 2026 - Risk Management Building",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,No,Yes
17410,"Esquimalt Graving Dock - Building 2027 - EGD Gazebo",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,No,Yes
17410,"Esquimalt Graving Dock - Building 2028 - Supervisors Offices",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,No,Yes
17410,"Esquimalt Graving Dock - Building 2029 - Sea Can Garage & Storage Area",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,No,Yes
17410,"Esquimalt Graving Dock - Building 3000 - Rope Locker",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,No,Yes
17410,"Esquimalt Graving Dock - Building 3070 - Standby Generator Building",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,No,Yes
17410,"Esquimalt Graving Dock - Building 3075 - Welding Shop & Compressor Room",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,Yes,Yes
17410,"Esquimalt Graving Dock - Building 3080 - South Side Sub-Station",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,No,Yes
17410,"Esquimalt Graving Dock - Building 3130 - South Side Fueling Station",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,No,Yes
17410,"Esquimalt Graving Dock - Building 4001 - Demarcation Building",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,No,Yes
17410,"Esquimalt Graving Dock - Building 4002 - Main Gate Kiosk",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,No,Yes
17410,"Esquimalt Graving Dock - Building 4003 - Commissionaires Lunchroom",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,No,Yes
17410,"Esquimalt Graving Dock - Building 4005 - East Brick Building",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,Yes,Yes
17410,"Esquimalt Graving Dock - Building 4006 - Lockley Office Building",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,No,Yes
17410,"Esquimalt Graving Dock - Building 4007 - Commissionaires Turnstile Kiosk",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,No,Yes
17410,"Esquimalt Graving Dock - Building 4011 - East Office Building",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,Yes,Yes
17410,"Esquimalt Graving Dock - Building 4012 - East Library Building",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,Yes,Yes
17410,"Esquimalt Graving Dock - Caissons #1",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,Yes,Yes
17410,"Esquimalt Graving Dock - Caissons #2",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,Yes,Yes
17410,"Esquimalt Graving Dock - Drydock Service Tunnels",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,Yes,Yes
17410,"Esquimalt Graving Dock - Emergency Generator Tanks",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,No,Yes
17410,"Esquimalt Graving Dock - Capstan #1 South",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,No,Yes
17410,"Esquimalt Graving Dock - Capstan #2 South",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,Yes,Yes
17410,"Esquimalt Graving Dock - 150 Ton Krup",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,No,Yes
17410,"Esquimalt Graving Dock - 30 Ton Ebco",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,No,Yes
17410,"Esquimalt Graving Dock - 30 Ton Kone",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,No,Yes
19825,"Fort Nelson Government of Canada Building",5007,"Airport Road","Fort Nelson",BC,"British Columbia","V0C 1R0",Crown-owned,Yes,Yes
9513,"Fort Nelson Airport",,"R.R. #1","Fort Nelson",BC,"British Columbia","V0C 1R0",Lease,No,"Not required"
12368,"Warehouse Building",10049,"86th Street","Fort St. John",BC,"British Columbia","V1J 3G5",Lease,No,"Not required"
20944,"501 Muchalat Dr, Gold River, BC",501,"Muchalat Drive","Gold River",BC,"British Columbia","V0P 1G0",Lease,No,"Not required"
47031,"Bank of Montreal Building",175,"2nd Avenue",Kamloops,BC,"British Columbia","V2C 5W1",Lease,No,"Not required"
10146,Building,985,"Mcgill Place",Kamloops,BC,"British Columbia","V2C 6X6",Lease,No,"Not required"
18601,"Kamloops Government of Canada Building",317,"Seymour Street",Kamloops,BC,"British Columbia","V2C 2E8",Crown-owned,Yes,Yes
21492,"520 Seymour St, Kamloops, BC",520,"Seymour Street",Kamloops,BC,"British Columbia","V2C 2G9",Lease,No,"Not required"
71881,"Park Place",1635,"Abbott Street",Kelowna,BC,"British Columbia","V1Y 1A9",Lease,No,"Not required"
53336,"Kelowna Airport",5583,"Airport Way",Kelowna,BC,"British Columbia","V1V 1S1",Lease,No,"Not required"
26742,"Office Building",2711,"Auburn Road",Kelowna,BC,"British Columbia","V1Z 3H7",Lease,"Work in progress","Work in progress"
144249,"Office Building",1863,"Bredin Road",Kelowna,BC,"British Columbia","V1Y 7S9",Lease,No,"Not required"
13555,Building,1620,"Dickson Avenue",Kelowna,BC,"British Columbia","V1Y 9Y2",Lease,No,"Not required"
71880,"Landmark Square",1726,"Dolphin Avenue",Kelowna,BC,"British Columbia","V1Y 8A6",Lease,No,"Not required"
53047,"Capri Centre",1835,"Gordon Drive",Kelowna,BC,"British Columbia","V1Y 3H4",Lease,No,"Not required"
18638,"Kelowna Government of Canada Building",471,"Queensway Avenue",Kelowna,BC,"British Columbia","V1Y 6S5",Crown-owned,Yes,Yes
13459,Building,27452,"52nd Avenue",Langley,BC,"British Columbia","V4W 4B2",Lease,No,"Not required"
8411,"410 Business Centre",9355,"198th Street",Langley,BC,"British Columbia","V1M 3J9",Lease,Yes,Yes
19596,"8747 204th St, Langley, BC",8747,"204th Street",Langley,BC,"British Columbia","V1M 2Y5",Lease,No,"Not required"
5404,Building,5550,"268th Street",Langley,BC,"British Columbia","V4W 3X4",Lease,No,"Not required"
13355,Building,5370,"271st Street",Langley,BC,"British Columbia","V4W 3Y7",Lease,No,"Not required"
7200,Building,654,"Industrial Place",Lillooet,BC,"British Columbia","V0K 1V0",Lease,No,"Not required"
47091,Building,12841,"Madeira Park Road","Madeira Park",BC,"British Columbia","V0N 2H0",Lease,No,"Not required"
15235,Building,20110,"Lougheed Highway","Maple Ridge",BC,"British Columbia","V2X 2P7",Lease,No,"Not required"
6898,Building,22325,"Lougheed Highway","Maple Ridge",BC,"British Columbia","V2X 2T3",Lease,No,"Not required"
47092,"Fisheries and Oceans Building",1390,"Christie Street",Masset,BC,"British Columbia","V0T 1M0",Lease,No,"Not required"
11969,Building,2010,"Boxwood Road",Nanaimo,BC,"British Columbia","V9S 5W7",Lease,No,"Not required"
14195,Building,2035,"Boxwood Road",Nanaimo,BC,"British Columbia","V9S 5X9",Lease,No,"Not required"
17566,"Nanaimo Government of Canada Building",60,"Front Street",Nanaimo,BC,"British Columbia","V9R 5H7",Crown-owned,Yes,Yes
16138,"1965 Island Diesel Way, Nanaimo, BC",1965,"Island Diesel Way",Nanaimo,BC,"British Columbia","V9S 5W8",Lease,No,"Not required"
16432,"Office Building",256,"Wallace Street",Nanaimo,BC,"British Columbia","V9R 5B3",Lease,No,"Not required"
20941,"1150 Lakeside Dr, Nelson, BC",1150,"Lakeside Drive",Nelson,BC,"British Columbia","V1L 5Z3",Lease,No,"Not required"
53019,"Fisheries and Oceans Building",4351,"11th Avenue","New Hazelton",BC,"British Columbia","V0J 2J0",Lease,No,"Not required"
53049,"Dominion Trust Building",600,"Columbia Street","New Westminster",BC,"British Columbia","V3M 1A5",Lease,No,"Not required"
47041,Building,620,"Royal Avenue","New Westminster",BC,"British Columbia","V3M 1J2",Lease,No,"Not required"
53371,"Shell Aero Centre",1962,"Canso Road","North Saanich",BC,"British Columbia","V8L 5V5",Lease,No,"Not required"
6315,"Sawmill Rd Commercial Building",5889,"Sawmill Road",Oliver,BC,"British Columbia","V0H 1T0",Lease,No,"Not required"
47042,Building,386,"Ellis Street",Penticton,BC,"British Columbia","V2A 8C9",Lease,No,"Not required"
9669,Building,60,"Nanaimo Avenue West",Penticton,BC,"British Columbia","V2A 1N1",Lease,No,"Not required"
6459,Building,187,"Nanaimo Avenue West",Penticton,BC,"British Columbia","V2A 1N4",Lease,No,"Not required"
16379,"Penticton Government of Canada Building",277,"Winnipeg Street",Penticton,BC,"British Columbia","V2A 1N6",Crown-owned,Yes,Yes
17429,"4805 Mar St, Port Alberni, BC",4805,"Mar Street","Port Alberni",BC,"British Columbia","V9Y 8J5",Lease,No,"Not required"
21192,"4706 Tebo Ave, Port Alberni, BC",4706,"Tebo Avenue","Port Alberni",BC,"British Columbia","V9Y 8B1",Lease,No,"Not required"
53001,Building,8585,"Wollason Street","Port Hardy",BC,"British Columbia","V0N 2P0",Lease,No,"Not required"
71873,Building,7061,"Duncan Street","Powell River",BC,"British Columbia","V8A 1W1",Lease,No,"Not required"
53002,Building,7255,"Duncan Street","Powell River",BC,"British Columbia","V8A 5M6",Lease,No,"Not required"
7125,Building,1363,"4th Avenue","Prince George",BC,"British Columbia","V2L 3J6",Lease,No,"Not required"
71867,"Government of Canada Building - Federal Office and Warehouse",3690,"Massey Drive","Prince George",BC,"British Columbia","V2N 2S8",Crown-owned,Yes,Yes
105097,"Government of Canada Building - Federal Office and Warehouse - Sheds",3690,"Massey Drive","Prince George",BC,"British Columbia","V2N 2S8",Crown-owned,Yes,Yes
53340,"Westel Building",177,"Victoria Street","Prince George",BC,"British Columbia","V2L 5R8",Lease,No,"Not required"
19764,"Oxford Building",280,"Victoria Street","Prince George",BC,"British Columbia","V2L 4X3",Crown-owned,Yes,Yes
19768,"HSBC Tower",299,"Victoria Street","Prince George",BC,"British Columbia","V2L 5B8",Lease,No,"Not required"
,Building,550,"Victoria Street","Prince George",BC,"British Columbia","V2L 2K1",Lease,"Work in progress","Work in progress"
47046,"Ocean Centre",309,"2nd Avenue West","Prince Rupert",BC,"British Columbia","V8J 3T1",Lease,No,"Not required"
19254,"Prince Rupert Government of Canada Building",417,"2nd Avenue West","Prince Rupert",BC,"British Columbia","V8J 1G3",Crown-owned,Yes,Yes
7974,Building,45,"Charlie Currie Road","Prince Rupert",BC,"British Columbia","V8J 0A1",Lease,No,"Not required"
53010,"Queen Charlotte City Federal Building",137,"Bay Street","Queen Charlotte City",BC,"British Columbia","V0T 1S0",Crown-owned,No,"Not required"
23076,Building,283,"Reid Street",Quesnel,BC,"British Columbia","V2J 2M1",Lease,Yes,Yes
18738,"Revelstoke Government of Canada Building",301,"3rd Street West",Revelstoke,BC,"British Columbia","V0E 2S0",Crown-owned,Yes,Yes
14794,Building,5611,"Cooney Road",Richmond,BC,"British Columbia","V6X 3J6",Lease,No,"Not required"
14489,Building,4831,"Miller Road",Richmond,BC,"British Columbia","V7B 1K7",Lease,No,Yes
7263,Building,4851,"Miller Road",Richmond,BC,"British Columbia","V7B 1K7",Lease,"Work in progress","Work in progress"
16776,"Steveston Government of Canada Building",12551,"No. 1 Road",Richmond,BC,"British Columbia","V7E 1T6",Crown-owned,Yes,Yes
32723,"Omnia Centre",3071,"No. 5 Road",Richmond,BC,"British Columbia","V6X 2T4",Lease,No,"Not required"
53370,Building,5988,"No. 6 Road",Richmond,BC,"British Columbia","V6V 1Z1",Lease,No,"Not required"
53338,"International Airport Terminal",C2621,"Vancouver Intl Airport",Richmond,BC,"British Columbia","V7B 1Y7",Lease,Yes,Yes
6488,Building,13160,"Vanier Place",Richmond,BC,"British Columbia","V6V 2J2",Lease,No,"Not required"
22759,"12511 Vulcan Way, Richmond, BC",12511,"Vulcan Way",Richmond,BC,"British Columbia","V6V 1J7",Lease,No,"Not required"
53004,"Warehouse Building",4250,"Commerce Circle",Saanich,BC,"British Columbia","V8Z 4M2",Lease,No,"Not required"
53005,Building,1751,"10th Avenue Southwest","Salmon Arm",BC,"British Columbia","V1E 4M3",Lease,No,"Not required"
32958,Building,191,"Shuswap Street","Salmon Arm",BC,"British Columbia","V1E 4P6",Lease,No,"Not required"
11661,"3793 Alfred Ave, Smithers, BC",3793,"Alfred Avenue",Smithers,BC,"British Columbia","V0J 2N0",Lease,Yes,Yes
53382,"Access Centre",1020,"Murray Street",Smithers,BC,"British Columbia","V0J 2N0",Lease,No,"Not required"
10376,Building,3167,"Tatlow Road",Smithers,BC,"British Columbia","V0J 2N5",Lease,No,"Not required"
19714,"Smithers Federal Building - Fisheries and Oceans",3177,"Tatlow Road",Smithers,BC,"British Columbia","V0J 2N0",Crown-owned,No,"Not required"
22570,"Fisheries and Oceans Building",1120,"Hunter Place",Squamish,BC,"British Columbia","V0N 3G0",Lease,No,"Not required"
17782,"1440 Winnipeg St, Squamish, BC",1440,"Winnipeg Street",Squamish,BC,"British Columbia","V8B 0B2",Lease,No,"Not required"
14437,Office,17735,"1st Avenue",Surrey,BC,"British Columbia","V3S 9S1",Lease,No,"Not required"
10928,"Government of Canada Building - Surrey Federal Operations",13130,"76th Avenue",Surrey,BC,"British Columbia","V3W 2V6",Crown-owned,No,"Not required"
10535,Building,13450,"102nd Avenue",Surrey,BC,"British Columbia","V3T 5X3",Lease,No,Yes
25102,Building,13479,"108th Avenue",Surrey,BC,"British Columbia","V3T 5T4",Lease,"Work in progress","Work in progress"
19821,"13889 104th Ave, Surrey, BC",13889,"104th Avenue",Surrey,BC,"British Columbia","V3T 1W8",Lease,No,"Not required"
71874,"Station Tower",13401,"108th Avenue",Surrey,BC,"British Columbia","V3T 5T4",Lease,No,Yes
12389,"Government of Canada Building - Green Timbers-Building A - Administration",14200,"Green Timbers Way",Surrey,BC,"British Columbia","V3T 6P3",Crown-owned,No,"Not required"
151535,"Government of Canada Building - Green Timbers-Building B - Services and Support",14200,"Green Timbers Way",Surrey,BC,"British Columbia","V3T 6P3",Crown-owned,No,"Not required"
151542,"Government of Canada Building - Green Timbers-Building C - Warehouse",14200,"Green Timbers Way",Surrey,BC,"British Columbia","V3T 6P3",Crown-owned,No,"Not required"
151543,"Government of Canada Building - Green Timbers-Building E - Gatehouse",14200,"Green Timbers Way",Surrey,BC,"British Columbia","V3T 6P3",Crown-owned,No,"Not required"
19976,"15295 10 Hwy, Surrey, BC",15295,"Highway 10",Surrey,BC,"British Columbia","V3S 0X9",Lease,No,"Not required"
47052,"King's Cross Shopping Centre",7488,"King George Boulevard",Surrey,BC,"British Columbia","V3W 0H9",Lease,Yes,Yes
104345,"Burnaby Fraser Tax Services Office Building",9737,"King George Boulevard",Surrey,BC,"British Columbia","V3T 5E6",Crown-owned,No,"Not required"
16649,"Surrey Taxation Data Centre",9755,"King George Boulevard",Surrey,BC,"British Columbia","V3T 5E6",Crown-owned,Yes,Yes
25100,"BC Surrey - 9900 King George Blvd",9900,"King George Boulevard",Surrey,BC,"British Columbia","V3T 4Y3",Lease,No,"Not required"
19974,"10153 King George Blvd, Surrey, BC",10153,"King George Boulevard",Surrey,BC,"British Columbia","V3T 2W1",Lease,Yes,Yes
152866,Building,7445,"132nd Street",Surrey,BC,"British Columbia","V3W 4M7",Lease,"Work in progress","Work in progress"
,Building,7455,"132nd Street",Surrey,BC,"British Columbia","V3W 1J8",Lease,"Work in progress","Work in progress"
53346,Building,5235,"Keith Avenue",Terrace,BC,"British Columbia","V8G 1L2",Lease,No,"Not required"
53277,Building,4630,"Lazelle Avenue",Terrace,BC,"British Columbia","V8G 1S6",Lease,No,"Not required"
53028,Building,5002,"Pohle Avenue",Terrace,BC,"British Columbia","V8G 4S8",Lease,No,"Not required"
53333,Building,640,"Industrial Way",Tofino,BC,"British Columbia","V0R 2Z0",Lease,No,"Not required"
17453,"1101 Dewdney Ave, Trail, BC",1101,"Dewdney Avenue",Trail,BC,"British Columbia","V1R 4T1",Lease,No,"Not required"
16956,"Harry Stevens Building",125,"10th Avenue East",Vancouver,BC,"British Columbia","V5T 1Z2",Crown-owned,Yes,Yes
12855,Building,3671,"1st Avenue",Vancouver,BC,"British Columbia","V5M 1C2",Lease,No,"Not required"
17550,"Woodward's Abbott Building",351,"Abbott Street West",Vancouver,BC,"British Columbia","V6B 0G6",Lease,No,"Not required"
16903,"Sandwell Building",1550,"Alberni Street",Vancouver,BC,"British Columbia","V6G 1A5",Lease,"Work in progress","Work in progress"
6524,"Tower 2 - 877 Expo Blvd",877,"Beatty Street",Vancouver,BC,"British Columbia","V6B 1K9",Lease,No,"Not required"
21497,"1263 Broadway W, Vancouver, BC",1285,"Broadway West",Vancouver,BC,"British Columbia","V6H 1G7",Lease,Yes,Yes
67254,"Douglas Jung Building",401,"Burrard Street",Vancouver,BC,"British Columbia","V6C 3R2",Crown-owned,No,"Not required"
8195,Building,800,"Burrard Street",Vancouver,BC,"British Columbia","V6Z 0B9",Lease,Yes,Yes
13606,Building,211,"Columbia Street",Vancouver,BC,"British Columbia","V6A 2R5",Lease,No,"Not required"
21030,"BC Rail Centre",221,"Esplanade West","Vancouver (North)",BC,"British Columbia","V7M 3J3",Lease,Yes,Yes
71883,"Library Square",300,"Georgia Street West",Vancouver,BC,"British Columbia","V6B 4P4",Lease-Purchase,No,"Not required"
32294,"Vancouver Centre",650,"Georgia Street West",Vancouver,BC,"British Columbia","V6B 4N7",Lease,Yes,Yes
71879,"IBM Tower",701,"Georgia Street West",Vancouver,BC,"British Columbia","V7Y 1K8",Lease,Yes,Yes
8164,Building,1185,"Georgia Street West",Vancouver,BC,"British Columbia","V6E 4E6",Lease,Yes,Yes
16895,"1188 Georgia St W, Vancouver, BC",1188,"Georgia Street West",Vancouver,BC,"British Columbia","V6E 4A2",Lease,Yes,Yes
71883,"Library Square",775,"Hamilton Street",Vancouver,BC,"British Columbia","V6B 6B4",Lease,No,"Not required"
47060,"Harbour Centre",555,"Hastings Street West",Vancouver,BC,"British Columbia","V6B 4N6",Lease,Yes,Yes
104348,"Sinclair Centre - Post Office Winch",757,"Hastings Street West",Vancouver,BC,"British Columbia","V6C 1A1",Crown-owned,Yes,Yes
104349,"Sinclair Centre-Federal Building",757,"Hastings Street West",Vancouver,BC,"British Columbia","V6C 1A1",Crown-owned,Yes,Yes
16880,"Sinclair Centre - Customs Examining Warehouse",757,"Hastings Street West",Vancouver,BC,"British Columbia","V6C 1A1",Crown-owned,Yes,Yes
104350,"Sinclair Centre - Retail",757,"Hastings Street West",Vancouver,BC,"British Columbia","V6C 1A1",Crown-owned,Yes,Yes
53249,Building,1148,"Hornby Street",Vancouver,BC,"British Columbia","V6Z 2C3",Lease,Yes,Yes
47065,"Robson Court",840,"Howe Street",Vancouver,BC,"British Columbia","V6Z 2S9",Lease,Yes,Yes
20853,"1420 Kingsway, Vancouver, BC",1420,"Kingsway Street",Vancouver,BC,"British Columbia","V5N 2R5",Lease,No,"Not required"
16953,"Standards Building",3625,"Lougheed Highway",Vancouver,BC,"British Columbia","V5M 2A6",Crown-owned,Yes,Yes
16925,Building,222,"Main Street",Vancouver,BC,"British Columbia","V6A 2S8",Lease,Yes,Yes
151844,"1611 Main St, Vancouver, BC",1611,"Main Street",Vancouver,BC,"British Columbia","V6A 2W5",Lease,No,"Not required"
7224,Building,1138,"Melville Street",Vancouver,BC,"British Columbia","V6E 4S3",Lease,No,"Not required"
17104,"Kapilano 100",100,"Park Royal South","Vancouver (West)",BC,"British Columbia","V7T 1A2",Lease,No,"Not required"
53375,Building,889,"Pender Street West",Vancouver,BC,"British Columbia","V6C 3B2",Lease,No,"Not required"
47113,Building,890,"Pender Street West",Vancouver,BC,"British Columbia","V6C 2V6",Lease,Yes,Yes
53252,"Manulife Place",1095,"Pender Street West",Vancouver,BC,"British Columbia","V6E 2M6",Lease,No,"Not required"
53111,"Vancouver House",605,"Robson Street",Vancouver,BC,"British Columbia","V6B 5J3",Lease,No,"Not required"
16883,"John Robson Place",1155,"Robson Street",Vancouver,BC,"British Columbia","V6E 1B5",Lease,Yes,Yes
21116,"1187 Robson St, Vancouver, BC",1187,"Robson Street",Vancouver,BC,"British Columbia","V6E 1B5",Lease,No,"Not required"
47061,"Grant Thornton Place",333,"Seymour Street",Vancouver,BC,"British Columbia","V6B 5A6",Lease,Yes,Yes
152473,"Terminal Avenue",468,"Terminal Avenue",Vancouver,BC,"British Columbia","V6A 0C1",Lease,"Work in progress","Work in progress"
21826,"160 Water St, Vancouver, BC",160,"Water Street",Vancouver,BC,"British Columbia","V6B 1B2",Lease,No,"Not required"
47095,Building,1305,"Welch Street","Vancouver (North)",BC,"British Columbia","V7P 1B3",Lease,No,"Not required"
13608,"BC Access Centre",189,"Stewart Street East",Vanderhoof,BC,"British Columbia","V0J 3A0",Lease,No,"Not required"
151887,"Property Number 22657",4501,"31st Street",Vernon,BC,"British Columbia","V1T 5J8",Lease,No,"Not required"
152916,Building,3101,"30 Avenue",Vernon,BC,"British Columbia","V1T 2C9",Lease,"Work in progress","Work in progress"
18681,"Vernon Federal Building",3101,"32nd Avenue",Vernon,BC,"British Columbia","V1T 7X5",Crown-owned,Yes,Yes
142423,"4708 34th St, Vernon, BC",4708,"34th Street",Vernon,BC,"British Columbia","V1T 5Y9",Lease,No,"Not required"
21126,"1321 Blanshard St, Victoria, BC",1321,"Blanshard Street",Victoria,BC,"British Columbia","V8W 0B6",Lease,No,"Not required"
144195,"1150 Douglas St, Victoria, BC",1150,"Douglas Street",Victoria,BC,"British Columbia","V8W 3M9",Lease,Yes,Yes
21493,"1405 Douglas St, Victoria, BC",1405,"Douglas Street",Victoria,BC,"British Columbia","V8W 2G2",Lease,Yes,Yes
21499,"754 Fort St, Victoria, BC",754,"Fort Street",Victoria,BC,"British Columbia","V8W 1H2",Lease,No,"Not required"
9322,Building,827,"Fort Street",Victoria,BC,"British Columbia","V8W 1H6",Lease,No,"Not required"
22384,"320 Garbally Rd, Victoria, BC",320,"Garbally Road",Victoria,BC,"British Columbia","V8T 2K1",Lease,No,"Not required"
17342,"P L James Place",1230,"Government Street",Victoria,BC,"British Columbia","V8W 3M4",Crown-owned,No,"Not required"
17343,"Government of Canada Building - New Federal Building",1415,"Vancouver Street",Victoria,BC,"British Columbia","V8V 3W4",Crown-owned,No,"Not required"
21023,"Pennbridge Medical Centre",4475,"Viewmont Avenue",Victoria,BC,"British Columbia","V8Z 6L8",Lease,No,"Not required"
153010,Building,836,"Yates Street",Victoria,BC,"British Columbia","V8V 1L8",Lease,"Work in progress","Work in progress"
20979,"914 Yates St, Victoria, BC",914,"Yates Street",Victoria,BC,"British Columbia","V8V 3M2",Lease,No,"Not required"
47120,"Bank of Montreal Building",35,"2nd Avenue South","Williams Lake",BC,"British Columbia","V2G 3W3",Lease,No,"Not required"
16375,"Office Building",280C,"3rd Avenue","Williams Lake",BC,"British Columbia","V2G 4T5",Lease,No,"Not required"
53056,Building,79,"4th Avenue","Williams Lake",BC,"British Columbia","V2G 1J6",Lease,No,"Not required"
20856,"Taku Building",4109,"4th Avenue",Whitehorse,YT,Yukon,"Y1A 1H6",Lease,No,"Not required"
19934,"Elijah Smith Building",300,"Main Street",Whitehorse,YT,Yukon,"Y1A 2B5",Crown-owned,Yes,Yes
103334,"Takhini Building",419,"Range Road",Whitehorse,YT,Yukon,"Y1A 3V1",Crown-owned,Yes,Yes
19933,"Government of Canada Building - Workshop Special Purpose Building",421,"Range Road",Whitehorse,YT,Yukon,"Y1A 3V1",Crown-owned,Yes,Yes
103331,"Government of Canada Building - Quonset Hut",421,"Range Road",Whitehorse,YT,Yukon,"Y1A 3V1",Crown-owned,Yes,Yes
