title,abstract
Rethinking ML Development – A Data-Centric Approach,"Data-centric AI is bridging the gap between research and practice. Instead of optimizing our algorithms and architectures, pivoting to focus on data as the primary way to improve our machine learning models is yielding tremendous results. But this shift to data has left some gaps in our development process, and with this shift, we need to rethink how we develop AI from tooling to processes.

Session Outline:

In this presentation join us as we examine:
● Data Centric AI and how did we get here?
● Data as the new ‘Source Code’
● What are the practical steps towards Data Centric AI"
"Introduction to Generative Art with Stable Diffusion, presented by HP Inc","Hot on the heels of popular text-to-image Generative Art models like OpenAI's DALLE 2 and Midjourney, Stable Diffusion is an open source Latent Diffusion model that can be used to create images from just a few words. This talk will go through high level details of how the model was built and trained, and some of the precursors models that it built upon. Then it will move to some comments on the ethical implications of AI art models generally and ethical considerations for those using stable diffusion and models like it. The main portion of the talk will be covering with how to get started using Stable Diffusion. This will help those even with limited background in ML or deep learning techniques to get an understanding of practically how to work with the model. This section will also focus on tips, tricks and examples to improve your output images as well as hardware considerations when running this powerful model locally. Finally we will finish with a couple of examples of how this model can be used in a few specific workflows or applications and some examples of what future generative art models may be able to do."
"Human-Friendly, Production-Ready Data Science with Metaflow","In this talk, you will learn about: * What to expect from a modern ML infrastructure stack. * Using tools such as Metaflow to boost the productivity of your data science organization, based on lessons learned from Netflix and many other companies. * Deployment strategies for a full stack of ML infrastructure that plays nicely with your existing systems and policies."
Introduction to Differential Privacy Concepts,"Differential Privacy provides a robust concept of privacy through a mathematical framework for quantifying and managing privacy risks. It is studied in the context of the collection, analysis, and release of aggregate statistics ranging from simple statistical estimations to machine learning. It is an emerging topic with growing interest as an approach for satisfying legal requirements for privacy protection of personal information. Differential privacy can be viewed as a technical solution for protecting individual privacy to meet legal or policy requirements for disclosure limitation while analyzing and sharing personal data. Using examples and some mathematical formalism, this talk will introduce differential privacy concepts including the definition of differential privacy, how differentially private analyses are constructed, and how these can be used in practice."
Impact of Data Science on Social Media Data,"This session will cover data generated on social media and how it is consumed. This data is used for data science applications in a variety of different ways. The platforms themselves use it for data intelligence, but also independent brands use social media data for several applications. Furthermore, content creators, researchers, and businesses across many verticals apply Machine Learning and Deep Learning on social media data for a variety of purposes. Data analytics, marketing campaigns, stock price predictions, recommendation systems, mental health indicators, and chatbots are some examples of the data science applications.
Given that social media is such a large part of our everyday lives today and it is highly influenced by data science algorithms, several layers of historical and sectional biases have inevitably made their way into the models and incidentally into our everyday lives. Biases and challenges will be discussed along with efforts underway for a better informed future."
AI TCO (Total Cost of Ownership) Considerations from Pilot to Production Scale,"AI projects can start small, from pretty much anywhere. Data scientists work from their laptop, workstation, cloud resources, or from resources within powerful servers and storage in a data center. Fast and reliable results will vary depending on the data, models and the infrastructure resources powering your data ingestion, analysis, model building, training, and optimization. Learn about the TCO considerations as you scale AI from exploratory pilot phases to production."
DS/AI for Incident Response & Threat Hunting with CHRYSALIS & DAISY,"There is a lot of talk about the use of AI in Cybersecurity these days. Lots of cybersecurity vendors claim that their products use AI for detecting and stopping threats, but very little information is available on how they do it.

Talking specifically about Incident Response and Threat Hunting... What does it take to transform traditional Threat Hunters/Forensicators into AI-Enhanced ones so they can unleash the power of AI in their day to day investigations?

Discover in this talk by Senior DFIR SANS Instructor Jess Garcia how to transparently use AI in Incident Response and Threat Hunting with the help of the DS4N6 toolset (DAISY VM & CHRYSALIS) and learn about the most useful ML algorithms for this purpose."
What Analytics Leaders need to know about EXplainable AI (XAI),"With the increased use of black-box models, analytics management needs to better understand the options available to them and also their teams. The two primary options are building transparent from the start (interpretable machine learning) or adding an explanatory layer to a black- box model (Explainable AI, also called XAI). We will discuss the advantages of each, and some of the reasons that black-box models are prevalent, even in regulated industries. We will also discuss the two primary kinds of model explanations: local and global. Each will be defined, with examples. Several popular and recent techniques will be overviewed, including SHAP, LIME, counterfactuals, and surrogate models. Despite the brevity of the talk, attendees will leave with a solid overview and a basic taxonomy of popular model explainability options."
Neutralizing Subjectivity Bias with HuggingFace Transformers,"The NLP task of text style transfer (TST) aims to automatically control the style attributes of a piece of text while preserving the content, which is an important consideration for making NLP more user-centric. In this session, we will explore text style transfer through an applied use case — neutralizing subjectivity bias in free text. Along the way, we’ll describe our sequence-to-sequence modeling approach leveraging HuggingFace Transformers, and present a set of custom, reference-free evaluation metrics for quantifying model performance. Finally, we’ll conclude with a discussion of ethics centered around our Applied Machine Learning Prototype: Exploring Intelligent Writing Assistance."
Unified Data Science Platform for Accelerating Data Insights,"We at LinkedIn leverage Jupyter notebooks extensively to do ad-hoc data analysis and our data scientists, engineers and developers spend a lot of time iterating over the query development lifecycle. We have created a hosted notebook platform at LinkedIn for our internal users) called Darwin (Data Analytics & Relevance Workbench at LinkedIn) - a one-stop solution for a complete Jupyter notebook/query life cycle (query development, query testing and query productionizing). Requirements for query development include connecting to various data sources like HDFS, MySQL, Kafka, etc., utilizing data engines like Apache Hadoop, Apache Spark & Trino and using libraries like TensorFlow to build state of the art machine learning models. Requirements for query testing include viewing the result in tabular format, pivot over the same and analyze with the help of visualization tools and collaborating with peers using Git and RB. Requirements for query productionizing include creating a shareable report link of the executions, scheduling the query at a set frequency & publishing the query to another internal app. We will also present the capabilities that we have added in our hosted notebook platform to iterate/pivot/visualize using a customized extension developed called a workbook along with features for productionizing them with creating custom schedules, creating customized dashboards & sharing seamlessly with other users.

We will share the advancements done in this field of Jupyter notebooks over the past few years which enables any user to be more productive with ad-hoc analysis using Jupyter notebooks. These learnings will enable data scientists/ machine learners to easily iterate and share their findings with the broader community.

LinkedIn is a data-driven company. Every team consumes and produces data that improves user experience on LinkedIn. Join Swasti Kakker and Manu Ram Pandit to explore the scalable, extensible unified platform LinkedIn is building leveraging Jupyter Hub, Jupyter Notebook, Docker and Kubernetes, MySQL, Git, and Restli that enforces productive data science and improves development experience."
Beyond Observability for the Modern Data Stack,
Graph Data Science: The Secret Ingredient for Relationship-Driven AI,"You’ve probably heard that graph databases are a major trend in data science and analytics, and you may have wondered how to translate the buzz into business value.

In this session, you’ll learn about the fundamentals of graph data science: what graphs are, how they can be incorporated into your analytics practice, and how a connected data platform can help you move from proof of concept to production.

We will highlight real-world use cases from leading enterprise companies including fraud, recommendations, and supply chain optimization. You’ll discover how it’s possible to translate state of the science techniques into practical business value across multiple industries and use cases."
Applications of NLP in Retail/E-commerce,"This talk covers 3 examples of using NLP to solve problems in a retail e-commerce context. The NLP techniques are topic modeling and string similarity. All the code examples use open source python libraries. The business contexts in which they will be discussed are identifying customer complaints from online reviews, identifying sample products and identifying similar products. Customer complaints are identified from a corpus of google reviews. The store operations team conducted this exercise to find out how often customers complain about problems like lack of adequate parking in large stores. New problems in stores were also identified. We walk through an example of topic modeling, as well as data cleaning for string data. Another problem at Home Depot is that many vendors sell products through our website. An interesting effect of this is that some samples are sold by vendors different from the vendor who sells the main item. Some tile samples are not linked to the items so they do not show up on the product webpage. Our user research shows that items with samples have higher online sales. We walk through some measures of string similarity like Levenstein distance and cosine similarity and their advantages and disadvantages. Lastly, a pretty standard recommender system on any e-commerce website nowadays is “Similar Items”. NLP techniques can be used on a corpus of all the product titles and descriptions to identify such products. The dataset here is too large to use the previously discussed methods. In this case we walk through string embeddings and nearest neighbors on the embeddings to identify the most similar items. The first and third examples will be reproduced with small datasets since yelp reviews and product names are publicly available data. The second one I am reasonably certain I can use a toy dataset."
Search and Discovery in News and Research,"How do you build a search and discovery system for financial news and research? In this talk, we will look at Bloomberg's decade-long investment in three specialized areas in the field of AI: natural language processing (or, the application of machine learning methods to text), information retrieval and search, and core machine learning (including deep learning), and how this is enabling us to apply autocompletion, query understanding, index enrichment (topics, people, sentiment), question answering, summarization, and relevance ranking in order to enable our clients to discover insightful information from the complexity of unstructured data."
Real-time Field Extraction on Mobile-devices Using Machine Learning,"Extracting key-fields from a variety of document types remains a challenging machine learning problem. Services such as AWS and Google Cloud provide text extraction products to """"digitize"""" images or pdfs. These return phrases, words and characters with their corresponding coordinate locations. Working with these outputs remains challenging and unscalable as different document types require different heuristics. The speed-limit for extracting information remains in the ~3-5+ seconds range, too slow for utilizing video and AR to present results

We propose a compressed on-device solution that extracts fields in sub-second range, with speeds approaching 200ms on modern devices for field extraction from invoices and receipts. Real-time scanning and extraction opens up new possible product workflows.

Bill.com is working to build a paperless future. We parse through millions of documents a year ranging from invoices, contracts, receipts and a variety of other types. Understanding those documents is critical to building intelligent products for our users."
Building Production-Ready Recommender Systems with Feast,"Recommender systems are highly prevalent in modern applications and services but are notoriously difficult to build and maintain. Organizations face challenges such as complex data dependencies, data leakage, and frequently changing data/models. These challenges are compounded when building, deploying, and maintaining ML pipelines spans data scientists and engineers. Feature stores help address many of the operational challenges associated with recommender systems.

In this talk, we explore:
• Challenges of building recommender systems
• Strategies for reducing latency, while balancing requirements for freshness
• Challenges in mitigating data quality issues
• Technical and organizational challenges feature stores solve
• How to integrate Feast, an open-source feature store, into an existing recommender system to support production systems"
On Learning-Aware Mechanism Design,"Statistical decisions are often given meaning in the context of other decisions, particularly when there are scarce resources to be shared. Managing such sharing is one of the classical goals of microeconomics, and it is given new relevance in the modern setting of large, human-focused datasets, and in data-analytic contexts such as classifiers and recommendation systems. I'll briefly discuss several recent projects that aim to explore the interface between machine learning and microeconomics, including leader/follower dynamics in strategic classification, a Lyapunov theory for matching markets with transfers, and the use of contract theory as a way to design mechanisms that perform statistical inference."
Is My NLP Model Working? The Answer is Harder Than You Think,"As natural language processing now permeates many different applications, its practical use is unquestionable. However, at the same time NLP is still imperfect, and errors cause everything from minor inconveniences to major PR disasters. Better understanding when our NLP models work and when they fail is critical to the efficient and reliable use of NLP in real-world scenarios. So how can we do so? In this talk I will discuss two issues: automatic evaluation of generated text, and automatic fine-grained analysis of NLP system results, which are some first steps towards a science of NLP model evaluation."
Robust and Equitable Uncertainty Estimation,"Machine learning provides us with an amazing set of tools to make predictions, but how much should we trust particular predictions? To answer this, we need a way of estimating the confidence we should have in particular predictions of black-box models. Standard tools for doing this give guarantees that are averages over predictions. For instance, in a medical application, such tools might paper over poor performance on one medically relevant demographic group if it is made up for by higher performance on another group. Standard methods also depend on the data distribution being static — in other words, the future should be like the past.

In this lecture, we will describe a new technique to address both these problems: a way to produce prediction sets for arbitrary black-box prediction methods that have correct empirical coverage even when the data distribution might change in arbitrary, unanticipated ways and such that we have correct coverage even when we zoom in to focus on demographic groups that can be arbitrary and intersecting"
Vector Search – A Gentle Introduction,"Today, we've gotten used to natural language search and recommendation systems. We expect to get what we search for without remembering the exact keyword. To tackle this, we use ML models that create vectors which represent the semantics of data, and a way to efficiently store and retrieve large amounts of vector and non-vector data. Scaling ML models to work reliably in production is hard and implementing efficient vector search while keeping real-time CRUD support that is expected from databases is even harder.

Vector search engines form a solution to these challenges. A vector search engine helps you create machine-learning-first search and recommendation systems based on your data. It searches through your data super-fast with Approximate Nearest Neighbor (ANN) search, while also supporting all CRUD operations and data mutability.

In this session, you will learn what vector search is, why and when you would need it and you will see vector search in action during live demos."
Taming Large Language Models into Trustworthy Conversational Virtual Assistants,"What if computers can truly converse with us in our native tongue? Computers will transform into effective, personalized assistants for everybody. Commercial chatbots today are notoriously brittle as they are hardcoded to handle a few possible choices of user inputs. Recently introduced large language neural models, such as GPT-3, are remarkably fluent, but they are prone to hallucinations, often producing incorrect statements. This talk describes how we can tame these neural models into robust, trustworthy, and cost-effective conversational agents across all industries and languages."
AI-driven Healthcare Navigation,"Our world faces increasingly complex challenges: we destabilized the climate, haven’t beaten all diseases, and haven’t spread the values of democracy and freedom to large parts of the globe, where violence and riots reign supreme. The world must be fixed in our generation - everyone would agree. But in order to take action, build a plan, we need to see the complete picture, and empower decision makers with tools to make those changes. This decade, we have finally reached a critical amount of data to facilitate the creation of such tools.My work is inspired by Mark Twain’s quote, who once said: “The past does not repeat itself, but it rhymes."" Although future events have unique circumstances, they typically follow familiar past patterns. Over the past few years, I devoted my life to development of prediction techniques. My system inferred that Cholera outbreaks in land-locked areas are more likely to occur following storms, especially when preceded by along drought. Another inference is that genocide events tend to occur following events where local opinion makers describe minority groups as pests. These types of patterns are composed of several abstractions, over variable-term temporal extents and selected from a large number of possible causes.  The algorithms I developed deal with the complexity of discovering such patterns.Large-scale digital histories, social and real-time media, and human web behavior are harvested and augmented with human knowledge mined from the web to afford real-time estimations of likelihoods of future events. Most recently, these algorithms have accurately predicted the first Cholera outbreak reported in Cuba in fifty years. These types of actionable predictions, that enable preventative measures, have drawn the attention of a UN genocide-prevention organization and the Gates foundations and illustrate the vast potential for real impact on the state of humanity.In the last few years I have been focusing on applying similar techniques for the healthcare and Pharma, leveraging large amount of data obtained from both medical records, EMR and other medical research results data in a quest to create an AI system for automated medical research and breakthroughs."
Human Factors of Explainable AI,"There are many types of users and stakeholders that require Explainable AI. Without explanations, end-users are less likely to trust and adopt ML-based technologies. Without a means of understanding model decision making, business stakeholders have a difficult time assessing the value and risks associated with launching a new ML-based product. And without insights into why an ML application is behaving in a certain way, application developers have a harder time troubleshooting issues, and ML scientists have a more difficult time assessing their models for fairness and bias. To further complicate an already challenging problem, the audiences for ML model explanations come from varied backgrounds, have different levels of experience with statistics and mathematical reasoning, and are subject to cognitive biases. They will also be relying on ML and Explainable AI in a variety of contexts for a variety of different tasks. Providing human understandable explanations for predictions made by complex ML models is undoubtedly a wicked problem. In this talk I’ll cover the human-factors that influence how explanations are interpreted and used by end-users. I’ll also present a framework for what to keep in mind when designing and assessing interpretable ML systems."
"Building Modern Search Pipelines with Haystack, Large Language Models and Hybrid Retrieval","In this talk, we navigate through the latest buzz around semantic search and separate the noise from the meaningful advancements. Is dense retrieval better than BM25’s keyword search? Do large language models outperform smaller transformers? How well do the models generalize to industry corpora? How can we leverage Question Answering?

We investigate those questions by walking through three main sections in the talk:

1) Short introduction into modern search systems, the main trends in 2022, an overview of typical pipelines behind it and typical challenges in the dev cycle
2) Investigating dense retrieval: With all the hype around vector databases and using transformers like BERT for search, it’s often difficult to understand the maturity of dense approaches for real use cases in the industry. We benchmark the performance of different retrieval methods (dense, sparse, hybrid) to understand where they fail, where they shine and which one might be relevant for your own industry use case. On top, we show how you can easily evaluate all popular methods on your own dataset using the open-source framework haystack.
3) Investigating Large Language models for retrieval: They are all around on social media, but are they actually useful for search? Again, we share benchmarks, observations from our own use cases and demonstrate with open-source code how you can evaluate and compare the performance on your own dataset using haystack.

The session is primarily addressing practitioners who want to get an overview of the state-of-the-art retrieval methods out there and open-source code to evaluate them."
How Enterprises Succeed with MLOps at Scale,"Machine learning and AI are a piece of a larger system. In order to run MLOps at scale, you need people and technology to work together to create repeatable, scalable and reproducible processes. We will discuss how to achieve scale, avoid common problems and look at use cases from major industry players."
Confidential Data Analytics and Learning for Data Scientists,"Data scientists and analysts often wish to analyze confidential data, but these datasets are often locked down due to privacy concerns. Further, it is sometimes difficult to share confidential data between teams in the same organization or across organizations. In this talk, I will overview state-of-the-art techniques for protecting confidential data while _in use_. These methods encrypt the data while enabling data scientists to train models and run analytics queries on encrypted data, essentially """"sharing without showing"""". I will then discuss our research and open source project called Opaque, which enables confidential analytics, learning and collaboration in an easy to use way. Link to open source project: https://github.com/mc2-project/mc2"
"Cloud Directions, MLOps and Production Data Science","Cloud computing promises to simplify infrastructure, but somehow MLOps remains deeply technical, even in the cloud. The complexity of MLOps tends to lead to an organizational antipattern: data scientists who know the data and models best have to mind-meld with data engineers who know the infrastructure best. This is particularly problematic in the highest-value stage of the ML lifecycle — managing models in production.

Recent trends in cloud technology, including serverless computing, promise new approaches for abstracting away infrastructure. Unfortunately these offerings fall short of the challenge of MLOps. In this talk I will cover some of the important promises and weaknesses of current cloud offerings, and describe research from Berkeley's RISElab and the resulting open source Aqueduct system, which are putting Production Data Science at the fingertips of anyone working with data and models."
Machine Learning Models for Quantitative Finance and Trading,"Machine Learning (ML) and Predictive Analytics are now embedded in a broad variety of use cases in Quantitative Finance, from information extraction to sentiment analysis, from factor scoring models to complex instrument pricing methods, and from risk premium mining to portfolio construction models. ML is also being used for asset pricing, e.g, option pricing or illiquid bond pricing where we need to learn the pricing function using data driven techniques as a further enhancement of methods rooted in stochastic modeling.

Quant traders and data scientists require automated ML & AI technologies to quickly extract actionable information from unstructured and increasingly non-traditional sources of data. We will illustrate the use of such derived signals in constructing promising trading strategies through novel use cases.

Session Outline:

This talk will provide a brief overview of the following topics:
• The broad application of machine learning in finance: opportunities and challenges.
• Use of alternative data such as News and Geo-locational/Extreme weather data to build signals and trading strategies for the financial markets.
• Machine Learning techniques for asset pricing, enhancing complex quant models (i.e., PDE solutions, Monte Carlo Simulations) for an efficient pricing of derivative and illiquid securities using data driven methods."
Build an ML Testing Infrastructure for Rigorous and Systematic Model Testing,
Automatic DataFrame Profiling and Visualization for Machine Learning,"When faced with a new dataset for a Machine Learning task, there are common questions that every data scientist will ask themselves about the data, and common preprocessing and cleaning operations to be performed. This can be laborious and time consuming using pandas alone, and looking at all columns and their interactions can become infeasible for larger datasets. In this talk, we'll see how the dataset on-boarding process for machine learning can be greatly simplified by using the dabl library in Python, which provides interactive suggestions for data cleaning and visualization. Using selection techniques specifically tailored to supervised learning, dabl will detect data types, apply required cleaning and preprocessing and select relevant visualizations automatically. This allows speeding up the on-boarding of new datasets tremendously and provides immediate feedback and insights."
Building Reliable Lakehouses for your ML pipelines with Delta Lake,
Creating Adhoc Data Science Teams for Local Politics,"It's election season, and you're on the campaign trail. You've set up your website, you've been knocking on doors, making phone calls, getting endorsements, and attending rallies, but there's only so much you can do to get your message out there. You need data to make informed decisions about where to focus your efforts, but you don't have the time or resources to hire full-time data scientists. What do you do?

In this talk, I'll discuss how to create adhoc data science teams to help with local elections. We'll cover how to structure projects to collect data, continually inform your campaign strategy, and communicate with a variety of backgrounds.

This talk will discuss how to create ad hoc data science teams to support local political initiatives. It will cover using notebooks to collect and analyze data, as well as how to effectively communicate findings to:

* candidates (or measure/bond leads)
* campaign staff
* the media

By the end of this talk, you'll have the tools you need to enable people to make data-driven decisions on the campaign trail and communicate."
"Orchestrating Data Assets instead of Tasks, with Dagster","Data practitioners use orchestrators to schedule and run the computations that keep data assets, like datasets and ML models, up-to-date.

Traditional orchestrators think in terms of “tasks”. This talk discusses an alternative, declarative approach to data orchestration that puts data assets at the center. This approach, called “software-defined assets”, is implemented in Dagster, an open source data orchestrator.

In traditional data platforms, code and data are only loosely coupled. As a consequence, deploying changes to data feels dangerous, backfills are error-prone and irreversible, and it’s difficult to trust data, because you don’t know where it comes from or how it’s intended to be maintained. Each time you run a job that mutates a data asset, you add a new variable to account for when debugging problems.

Dagster proposes an alternative approach to data management that tightly couples data assets to code - each table or ML model corresponds to the function that’s responsible for generating it. This results in a “Data as Code” approach that mimics the “Infrastructure as Code” approach that’s central to modern DevOps. Your git repo becomes your source of truth on your data, so pushing data changes feels as safe as pushing code changes. Backfills become easy to reason about. You trust your data assets because you know how they’re computed and can reproduce them at any time. The role of the orchestrator is to ensure that physical assets in the data warehouse match the logical assets that are defined in code, so each job run is a step towards order.

Asset-based orchestration works well with modern data stack tools like dbt, Meltano, Airbyte, and Fivetran, because those tools already think in terms of assets.

Attendees of this session will learn how to build and maintain data pipelines in a way that makes their datasets and ML models dramatically easier to trust and evolve."
CI/CD for Machine Learning,"CML is a project to help ML and data science practitioners automate their ML model training and model evaluation using best practices and tools from software engineering, such as GitLab CI/CD (as well as GitHub Actions and BitBucket Pipelines). The idea is to automatically train your model and test it in a production-like environment every time your data or code changes.

Session Outline:

In this talk, you’ll learn how to:
- Automatically allocate cloud instances (AWS, Azure, GCP) to train ML models. And automatically shut the instance down when training is over
- Automatically generate reports with graphs and tables in pull/merge requests to summarize your model’s performance, using any visualization library
- Transfer data between cloud storage and computing instances with DVC
- Customize your automation workflow with GitLab CI/CD"
Ace the Data Job Hunt,"Want to land your dream job in data? Learn what makes a Data resume stand out, how a portfolio project is a job hunting cheat code when you avoid these 6 mistakes, why cold email is a networking super-power, and how to craft a winning personal story for the behavioral interview. These tips led Nick Singh, best-selling author of Ace the Data Science interview, to work at Facebook & Google, and helped 200+ of his coaching clients land top jobs in tech."
Cybersecurity and Policing in the Metaverse,"Cybersecurity and policing in the metaverse.
You can buy virtual assets in the Metaverse; real estate, investment commodities, stock. This of course means that the Metaverse will need to have security and policing.

AI Play In Electric Vehicles
About Me
My R&D Lab near Silicon Valley
Al in Electric Vehicles.
Increasing Complexity of Mobility Devices.
Areas of AI Potentials in EVs.
Tesla Self Driving Sensor.
Tesla Self Driving.
EV Fuzzy Controller.
What is Fuzzy Logic?
Current R&D Project
Short Video of Car Project"
Tackling Climate Change with Machine Learning,"Climate change is one of the greatest challenges that society faces today, requiring rapid action from all corners. In this talk, I will describe how machine learning can be a potentially powerful tool for addressing climate change, when applied in coordination with policy, engineering, and other areas of action. From energy to agriculture to disaster response, I will describe high impact problems where machine learning can help through avenues such as distilling decision-relevant information, optimizing complex systems, and accelerating scientific experimentation. I will then dive into some of my own work in this area, which merges data-driven approaches with physical knowledge to facilitate the transition to low-carbon electric power grids."
Navigating the Pitfalls of Applying Machine Learning in Practice,"As the amount and complexity of data rapidly increases, machine learning tools are being used for a wide array of analytical tasks. These tasks include supervised and unsupervised prediction and forecasting as well as sophisticated normalization and integration of heterogeneous data sets. Although machine learning has shown great promise in almost every area it has been applied to, mistaken assumptions about the data being used to train such models can lead to erroneous evaluations and to models that do not actually work as well (or at all) in practice. In this session, we will talk concretely about five interrelated pitfalls that one might encounter when using supervised machine learning and how to avoid them. Importantly, these pitfalls are not domain specific --- they can, and do, occur in every industry, and failing to appreciate their significance can cause projects to fail that would otherwise succeed.

Session Outline:

This session will cover five statistical pitfalls:

1. Distributional differences
2. Dependency structure
3. Confounding variables
4. Information leakage
5. Unbalanced data

Each pitfall will have an example, although the first and fourth pitfalls will be discussed the most in-depth. By the end, the audience should have a conceptual understanding of what each of these pitfalls are and how to avoid them.

Background Knowledge:

The audience should understand how machine learning models are trained, i.e. using a training set for training and a separate test set for evaluation, but do not need to know the mathematics behind how any models work. One may get more out of the talk if they have trained a model themself, but that is not a requirement."
5 Things We Have Learned From Continuous Explore Exploit Applications at Netflix,"Netflix is the pioneer for applying causal inference to real life applications. From the down-to-the-root online experimentation platform to a more advanced continuous explore exploit system, all the applications are heavily researched and developed to provide Netflix members the most member joy. Here we aim to provide the five lessons learned by applying Continuous Explore Exploit framework in multiple Netflix applications and hope to shed light on future innovations and applications.

Lesson 1: Setting up the CEE framework can bring huge customer satisfaction gains. In Video artwork, by employing the CEE framework has achieved one of the biggest wins in the area by a simple switch of personalized exploitation with collected explore data. Even just exploiting the only winner can achieve a sizable win.

Lesson 2: Adding in more arms and counterfactual analysis becomes a breeze in mature CEE applications. At Netflix, new features are developed to meet a certain cohort’s needs. With the CEE, we can easily add new arms to the selection portfolio. In this way, we can measure and maintain arm effectiveness continuously without further deployment and AB tests. The results from counterfactual analysis can help with generating hypotheses to improve personalization algorithms.

Lesson 3: CEE could be a faster way to go than AB tests in product launches once the system is in place. The long cycle times and dependence on allocations also constrain the overall number of concurrent tests and for AB tests. CEE would help relieve this pain by continuously launching new features and learning from its efficiency while productizing the most valuable options in exploitation.

Lesson 4: Apple to Apple Comparison is the key to accurate measurement. Whenever conducting counterfactual analysis, one key point is to make sure the population that we compare against are from the same distribution.

Lesson 5: Making sure no customer harm is the initial step to set up CEE for success. Although with all the benefits we can obtain from CEE, there can be potential customer dissatisfaction from the random exploration. We run a no-harm test at Netflix for all applications with CEE to ensure customer satisfaction.

We have summarized many learnings in applying Continuous Explore Exploit framework in various areas across Netflix. We will describe how Continuous Explore data has helped us be faster and smarter with innovation efforts in these areas at Netflix. These insights can bring more ideas into other applicable areas while spark further innovations for industries."
Riding the Tailwind of NLP Explosion,"Keywords: # transformers # transfer leaning # zero-shot # literature review # application

We ingest 2 million documents monthly at CB Insights (CBI) to empower tech decision-makers and researchers. From raw data to insights, the R&D team takes on many holy grail challenges, a major one being how to extract relevant information with scale, speed, and precision.

When we started at CBI, NLP was still prehistoric when the """"bag of words"""" walked the earth. Fast forward ten years, the birth of the """"attention mechanism"""" created an NLP explosion and a strong tailwind for teams big and small to ride.

In this talk, we'll share how we modernized our NLP stack @ CBI R&D and the challenges we met with. Part I will walk you through the timeline and milestones of NLP evolution, highlighting significant trends after the """"attention"""" revolution. Part II will discuss battle-ready lessons gained using transformer models across various tasks and languages, leveraging open source libraries such as HuggingFace Transformers and Pytorch Lightning."
Archetypal Analysis: Maintaining Contrastive Categories in Cluster Analysis,"Cluster analysis is the task of finding and organizing data observations into groups that share characteristics. K-means is a common machine learning technique and is great at finding clouds of concise clouds of homogenous data. K-means works by finding “centroids”, or centers of average tendency in the data, and we simply classify individual observations based on which centroid is mathematically closest to it. Philosophically, we say that the centroids have the characteristics that define what it means to be a member of the given cluster.

In the real world, there are many categories that we do not define by their “average tendency”. For instance, in American politics, we define voter’s political ideology in contrastive categories of liberal and conservative. Even someone who is a moderate liberal we will still categorize as liberal, even if their ideology has more common with a moderate conservative than an extreme liberal. We do this because they have qualities that at least begin to approach a stereotypical extreme. This works for many other categories as well (value shoppers, athletes, action films, etc). K-means will often struggle to organize data this way, as it uses centroids rather than contrastive extremes to exemplify cluster membership.

Archetypal analysis, on the other hand, mirrors that contrastive way of thinking into it’s machine learning approach to clustering data. Like K-means, it finds artificial data points to exemplify cluster membership. But instead of centroids, Archetypal analysis looks for extremal values on the periphery of the data distribution, called “archetypes” to exemplify cluster membership, and cluster membership is defined by their similarities to archetypes. As such, archetypal analysis is a useful tool for maintaining contrastive categories in organizing data into classes.

My presentation will cover archetypal analysis in greater detail, comparing it to more traditional clustering techniques. I will also cover the underlying math and machine learning approach to the technique, as well as its implementation in R. I’ll also share a few case studies from my own industry (Market research) where the technique is used. Attendees should be at least somewhat familiar with cluster analysis generally, be able to follow along in R code, and have a rudimentary understanding of basic statistical and machine learning ideas."
Open Source ELT For Everyone – Level Up With Custom Connectors,"Airbyte has hundreds of source connectors ready-made and available, but there are an ever growing number of data sources you might encounter.It's a familiar feeling for most data engineers to find that your ETL/ELT tool doesn't support some critical connections that you really need. So you introduce another tool, or perhaps you submit a ticket and wait for it to get built. Airbyte's Connector Development Kit gives you the agency to rapidly build those vital connections with ease! This talk will demonstrate setting up a standard connection in Airbyte with pre-built connectors, then walk through the process of building a bespoke API connector with our low-code development kit and using it to sync data."
Real-time Data Science Made Easy,"By 2025, analysts estimate that 30% of generated data will be real-time data.  This is 52ZB of real-time data per year and is roughly the amount of total data produced in 2020!  Soon, almost every data scientist and data engineer will be working with real-time data.  The future of data science is real-time. Existing technologies for working with static data fail when applied to real-time data because they have no way to incrementally update calculations and visualizations.  To make such enormous volumes of changing data useful, we need a toolkit for managing data, performing data science, and visualizing results in real-time.  In this talk, we will explore production-quality, real-time data science using the current leading open, real-time technologies:  Kafka, redpanda, ksqlDB, Materialize, and Deephaven Community Core.

Session Outline:
Concepts that will be discussed:
 Key components needed in a real-time data analytics system and how to choose the best open
options for your use case.
 Why are current static technologies, such as SQL and Pandas, unsuited to real-time data science?
(Transactional DB vs streaming table)
 Design patterns for building flexible real-time workflows.
 Efficiently publishing real-time data to many users in a programming language agnostic way.
 Using both real-time and static data in the same query. 
 Data exploration, visualization, and dashboards in real-time.
 Query language selection for data science: SQL (ksqlDB and Materialize) vs data-frame
(Deephaven).
 Working with time series.
 Real-time AI/ML on streams of data.
 Do current tools, such as Pandas, Matplotlib, and TensorFlow, have a place in a real-time world?"
